0,1
fish options,sugar
,The  minimum  requirements  for  nutritional  quality  are  used  in  the  planning  of
food  instructions  and  the  procurement  and  preparation  of  food.  The  recommended,
energy and nutrient content per meal must be met at a weekly level on average. In the,
"calculation of contents, it is possible to use production management systems tailored for",
"meal planning. Recipe collections are also available for food preparation, which include",
the energy and nutrient contents for meals. Food service providers must be able to show,
their customers that their food meets the recommendations. Lunches should be planned,
so that the main meal meets around a third of the customer's daily energy requirement.,
,Minimum quality requirements have been set for the amount and quality of fat and
the amount of salt and fibre. By following the minimum requirements for nutritional,
"quality, it is possible to meet the recommended relative proportions of energy-yielding",
"nutrients per meal, which are described in the chapter ‘Recommended intakes of energy",
and  nutrients’.  The  amount  of  fat  in  main  meals  may  be  higher  than  the  amount,
recommended for the diet as a whole if the quality of the fat meets the recommendations,
(less than 10 E% of saturated fat). The amount of free sugar (up to 10 E%) must also be,
taken into account in ingredient choices and meal planning.,
,"In menu planning, it should considered that the use of red meat, processed meat"
and  poultry  meat  should  be  reduced  compared  to  the  previous  recommendation.,
"The  recommended  amount  of  cooked  red  meat  and  meat  products,  which  is  a",
"maximum  of  350  grams  per  week,  includes  food  consumed  both  outside  of  and  at",
"home. Correspondingly, the amount of legumes, whole grain cereals, vegetables, root",
"vegetables, seeds, nuts and environmentally sustainable fish options must be increased",
in the meals served (see ‘Nutrition health effects’). Adults should consume 300 to 450,
"grams of fish per week, of which the proportion of fatty fish should be about 200 grams.",
,"Potatoes are a familiar and traditional ingredient in Finnish cooking, and increasing"
their  use  in  diets  is  recommended.  As  they  are  an  environmentally  friendly  and,
nutritionally  good  choice  (when  prepared  without  added  fat  and  salt)  to  provide,
"energy.  In  addition  to  potatoes,  various  fibre-rich  cereal  products  are  nutritionally",
"recommended side dishes. If possible, using whole grain barley, wheat or oats instead",
of rice is recommended.,
